Professors,Food,WiFi,Clubs,Library,Advising,Wellness,Tutoring,Safety,Events,Commuting,Residence,Athletics,Printing,Overall,ChangeOneThing,BiggestStress,BestPart
6,NA,,4,10,2,2,NA,5,,NA,10,NA,NA,,better gym equipment,cafeteria food prices,technology resources are good
,5,2,4,2,,3,,6,6,NA,,4,2,,make campus greener,group projects,career fairs and networking
2,6,,3,NA,10,NA,NA,NA,10,10,-1,2,6,,better gym equipment,lack of sleep,professors are helpful
6,4,,4,,5,1,10,NA,,6,NA,,NA,,longer library hours,too much homework,library is quiet
,NA,3,,6,,,NA,,NA,NA,NA,2,NA,10,better food options,not enough outlets in library,gym and athletics
,NA,-1,6,NA,10,NA,2,,1,10,,,3,,make campus greener,finding parking,modern campus
,6,1,NA,3,6,NA,,,6,1,2,10,5,NA,more fun traditions,commuting every day,campus events are fun
4,1,,NA,10,3,4,NA,5,NA,2,NA,6,-1,,longer library hours,cafeteria food prices,professors are helpful
5,NA,,3,NA,NA,NA,,-1,3,NA,,4,,NA,more campus events,cafeteria food prices,technology resources are good
,3,,4,1,NA,,,NA,6,1,,,NA,6,fix the wifi,registering for classes,tutoring center really helps
NA,NA,NA,10,,1,5,10,1,4,3,NA,2,NA,NA,longer library hours,cafeteria food prices,tutoring center really helps
,6,,-1,,,10,NA,NA,1,,NA,6,-1,6,fix the wifi,too much homework,modern campus
3,-1,-1,6,3,NA,NA,5,NA,5,,10,-1,2,,make campus greener,exams all in one week,campus events are fun
NA,4,,,,NA,NA,-1,NA,3,-1,-1,NA,-1,,longer library hours,exams all in one week,technology resources are good
,,NA,4,2,6,NA,,NA,10,10,-1,NA,,10,less paperwork in advising,lack of sleep,friends I've made
10,6,2,NA,-1,NA,5,NA,5,NA,-1,NA,NA,NA,1,more campus events,exams all in one week,modern campus
NA,,NA,NA,,NA,NA,1,NA,NA,1,-1,NA,-1,6,longer library hours,lack of sleep,career fairs and networking
3,,3,,NA,5,4,6,NA,NA,NA,-1,,NA,NA,less paperwork in advising,lack of sleep,modern campus
,,NA,NA,6,,NA,6,,NA,,NA,5,,NA,longer library hours,too much homework,technology resources are good
NA,,NA,NA,4,4,-1,NA,6,,,2,,2,-1,better gym equipment,lack of sleep,professors are helpful
NA,NA,NA,6,,3,5,4,5,,NA,3,NA,-1,NA,fix the wifi,too much homework,campus events are fun
,1,6,1,-1,10,,NA,,1,,,2,,-1,less paperwork in advising,not enough outlets in library,technology resources are good
10,1,,,4,6,NA,,5,5,2,NA,10,,,fix the wifi,exams all in one week,professors are helpful
6,NA,5,,6,,6,,5,10,,,,10,,longer library hours,exams all in one week,professors are helpful
6,-1,,NA,NA,,10,NA,,6,5,NA,,5,10,more parking spots,group projects,technology resources are good
5,5,-1,10,-1,,,NA,,2,6,NA,NA,10,10,less paperwork in advising,registering for classes,professors are helpful
6,1,,,,,,5,-1,NA,NA,6,5,NA,NA,better gym equipment,commuting every day,modern campus
5,10,NA,NA,NA,,6,NA,4,3,NA,NA,NA,3,5,make campus greener,registering for classes,technology resources are good
,NA,,NA,NA,10,NA,10,-1,NA,NA,10,NA,,,more fun traditions,finding parking,professors are helpful
10,2,,NA,NA,,NA,NA,1,,1,6,-1,,10,more fun traditions,slow wifi,modern campus
3,1,6,6,1,NA,10,,2,4,,,NA,NA,,more parking spots,exams all in one week,tutoring center really helps
,10,-1,,NA,4,NA,NA,,NA,NA,,2,3,NA,better food options,lack of sleep,gym and athletics
6,6,,NA,-1,,2,4,6,6,6,-1,6,3,2,less paperwork in advising,cafeteria food prices,campus events are fun
NA,3,NA,6,4,NA,2,1,3,NA,2,-1,,1,1,better food options,commuting every day,professors are helpful
,NA,,-1,NA,-1,NA,4,-1,1,2,,,10,2,fix the wifi,not enough outlets in library,campus events are fun
NA,3,4,,NA,NA,NA,NA,10,3,,,1,,-1,better gym equipment,finding parking,friends I've made
NA,2,NA,4,10,,,2,2,,,1,3,-1,NA,more fun traditions,cafeteria food prices,friends I've made
NA,-1,,,,6,NA,10,NA,6,,5,6,,NA,make campus greener,slow wifi,professors are helpful
3,,10,5,,-1,,,,,6,10,,,,better gym equipment,lack of sleep,clubs and student life
6,NA,4,,3,6,,,NA,10,2,,6,4,,more campus events,cafeteria food prices,modern campus
1,,1,2,,,NA,NA,1,,5,NA,1,3,10,more campus events,not enough outlets in library,technology resources are good
,3,NA,4,,-1,NA,NA,4,6,NA,1,5,4,-1,better food options,finding parking,modern campus
NA,6,10,NA,6,,NA,,6,NA,10,5,,6,NA,more fun traditions,lack of sleep,modern campus
,,,,3,6,NA,4,5,5,10,3,10,NA,,more campus events,exams all in one week,campus events are fun
,,NA,,10,4,1,3,NA,,4,,NA,5,2,more campus events,exams all in one week,clubs and student life
4,1,10,1,,1,-1,6,6,10,,6,6,NA,,longer library hours,group projects,technology resources are good
NA,3,3,1,6,NA,NA,,3,10,6,NA,5,2,NA,less paperwork in advising,lack of sleep,library is quiet
,NA,10,-1,NA,NA,,3,,,6,6,6,,1,less paperwork in advising,lack of sleep,campus events are fun
1,2,10,4,-1,3,3,NA,4,6,,5,NA,NA,NA,fix the wifi,registering for classes,technology resources are good
,3,-1,NA,4,NA,,,2,6,4,,3,,6,more fun traditions,finding parking,friends I've made
1,2,NA,NA,NA,NA,5,,,NA,1,,10,3,2,more parking spots,commuting every day,career fairs and networking
,-1,-1,3,10,-1,-1,,1,,2,,4,NA,NA,fix the wifi,lack of sleep,professors are helpful
-1,6,6,NA,4,4,6,-1,NA,5,2,-1,2,NA,,more campus events,cafeteria food prices,gym and athletics
,2,,,,4,10,5,6,NA,,NA,10,4,-1,less paperwork in advising,too much homework,career fairs and networking
,10,,NA,NA,10,NA,10,4,10,,10,NA,6,,better food options,exams all in one week,career fairs and networking
,,5,1,,,NA,,NA,,-1,NA,,,NA,longer library hours,finding parking,career fairs and networking
3,NA,NA,10,NA,NA,NA,10,NA,NA,,4,NA,,,fix the wifi,lack of sleep,technology resources are good
NA,NA,3,,4,NA,6,NA,10,-1,,-1,1,NA,,longer library hours,too much homework,tutoring center really helps
NA,NA,,3,6,NA,NA,2,2,,2,NA,NA,NA,,more campus events,cafeteria food prices,career fairs and networking
NA,,-1,3,NA,10,NA,,5,-1,,NA,,,10,more fun traditions,too much homework,tutoring center really helps
,6,NA,,10,NA,,,2,1,NA,5,,2,5,less paperwork in advising,exams all in one week,tutoring center really helps
,NA,NA,,NA,1,2,NA,,NA,3,2,4,-1,3,longer library hours,group projects,career fairs and networking
NA,6,-1,NA,NA,NA,10,6,,NA,,10,-1,3,NA,less paperwork in advising,lack of sleep,friends I've made
5,,,1,NA,,NA,-1,10,10,NA,NA,2,5,,longer library hours,lack of sleep,career fairs and networking
NA,-1,4,,2,,3,NA,2,NA,2,,,2,NA,fix the wifi,cafeteria food prices,career fairs and networking
10,10,NA,NA,10,,4,,-1,NA,NA,4,10,4,,more parking spots,lack of sleep,clubs and student life
,-1,,-1,,10,10,,1,2,,6,10,6,10,more campus events,exams all in one week,clubs and student life
1,2,NA,10,6,NA,,NA,NA,,-1,NA,10,-1,6,free coffee for students,group projects,library is quiet
NA,3,-1,6,4,2,6,6,3,5,,,4,10,6,more campus events,registering for classes,gym and athletics
NA,,,NA,,10,,NA,10,,1,,5,NA,-1,make campus greener,slow wifi,professors are helpful
NA,,10,3,1,4,,,2,5,NA,3,,,-1,less paperwork in advising,not enough outlets in library,technology resources are good
-1,1,5,3,2,2,,2,1,-1,,NA,10,,NA,longer library hours,group projects,clubs and student life
NA,2,,3,NA,-1,6,1,,,5,2,,NA,1,fix the wifi,slow wifi,campus events are fun
NA,NA,-1,,10,NA,NA,6,,-1,,2,,6,2,more fun traditions,not enough outlets in library,career fairs and networking
4,,2,4,,,-1,-1,NA,10,,,,NA,2,more campus events,not enough outlets in library,gym and athletics
NA,,NA,,,,5,-1,10,5,,2,4,NA,NA,more fun traditions,exams all in one week,clubs and student life
,,,NA,5,2,3,NA,-1,6,,,NA,3,10,more fun traditions,commuting every day,library is quiet
5,10,,10,-1,2,4,6,,3,NA,NA,-1,-1,,better food options,group projects,campus events are fun
-1,,NA,2,NA,NA,6,6,1,,6,6,6,,NA,more fun traditions,registering for classes,gym and athletics
,NA,,,3,5,2,NA,5,NA,2,10,5,,6,better food options,group projects,gym and athletics
,,1,5,5,NA,,,NA,,4,4,NA,10,,less paperwork in advising,commuting every day,friends I've made
2,10,,3,,NA,3,NA,5,5,4,,3,,-1,fix the wifi,finding parking,clubs and student life
5,NA,-1,-1,,NA,-1,2,,-1,10,5,NA,NA,,more campus events,not enough outlets in library,gym and athletics
,NA,10,6,3,NA,,,NA,6,5,,,NA,2,better food options,slow wifi,tutoring center really helps
4,3,-1,-1,6,1,,6,5,3,1,NA,2,-1,NA,more fun traditions,cafeteria food prices,modern campus
5,NA,6,5,NA,,,,,-1,-1,,,NA,NA,fix the wifi,commuting every day,technology resources are good
,5,2,-1,NA,NA,-1,,6,NA,,NA,NA,4,1,more campus events,too much homework,professors are helpful
NA,NA,NA,5,6,,2,5,5,10,,4,,NA,,better food options,slow wifi,professors are helpful
NA,NA,5,-1,,2,2,,,-1,10,NA,NA,6,NA,better gym equipment,commuting every day,library is quiet
,NA,1,,,-1,NA,10,6,6,NA,-1,,3,NA,free coffee for students,exams all in one week,clubs and student life
4,,2,,3,2,6,1,NA,NA,NA,NA,6,NA,,longer library hours,too much homework,library is quiet
1,-1,4,4,6,5,NA,-1,NA,NA,10,,,1,1,better food options,exams all in one week,gym and athletics
2,6,10,6,NA,3,-1,,6,4,NA,NA,,3,10,make campus greener,not enough outlets in library,tutoring center really helps
10,,1,6,2,10,,6,10,,,NA,NA,4,NA,longer library hours,cafeteria food prices,gym and athletics
NA,-1,6,1,,5,NA,,,,,,2,,-1,better gym equipment,cafeteria food prices,friends I've made
NA,10,,6,10,NA,,,NA,NA,,NA,-1,10,NA,better gym equipment,registering for classes,library is quiet
NA,NA,NA,,NA,2,NA,10,,,,,,,,better gym equipment,slow wifi,technology resources are good
,NA,,3,NA,1,6,1,,,1,3,NA,NA,5,more parking spots,registering for classes,friends I've made
3,5,3,4,NA,,,10,NA,-1,6,1,,,NA,more campus events,too much homework,clubs and student life
-1,NA,5,2,,-1,1,3,,10,6,6,-1,NA,NA,less paperwork in advising,registering for classes,clubs and student life
NA,1,-1,NA,10,,NA,,NA,-1,NA,NA,,5,3,free coffee for students,group projects,tutoring center really helps
10,,6,,,,,NA,6,,5,NA,,5,-1,fix the wifi,lack of sleep,friends I've made
1,NA,NA,6,NA,5,,,,,NA,NA,3,,1,better food options,lack of sleep,professors are helpful
5,6,,-1,NA,4,10,3,3,3,6,NA,NA,6,2,fix the wifi,finding parking,library is quiet
NA,3,,,NA,NA,2,5,NA,NA,2,5,6,,NA,better gym equipment,lack of sleep,clubs and student life
5,NA,NA,10,NA,,NA,1,2,,-1,NA,1,4,,longer library hours,lack of sleep,gym and athletics
,,6,NA,10,1,10,,1,5,2,4,,-1,NA,more parking spots,cafeteria food prices,clubs and student life
6,NA,6,NA,10,NA,1,,NA,NA,NA,NA,,,5,more campus events,lack of sleep,campus events are fun
3,,NA,4,,NA,,NA,NA,10,NA,NA,NA,10,,better food options,lack of sleep,campus events are fun
10,10,10,6,3,,6,NA,6,-1,2,,6,NA,10,better gym equipment,commuting every day,tutoring center really helps
,NA,6,3,,3,2,2,,NA,,,,3,2,make campus greener,commuting every day,tutoring center really helps
5,10,,,2,6,,NA,6,NA,6,-1,,-1,1,free coffee for students,commuting every day,gym and athletics
1,NA,10,,NA,,,NA,,NA,3,10,6,4,NA,better gym equipment,exams all in one week,technology resources are good
,10,NA,10,2,NA,,NA,6,3,NA,,-1,,-1,better gym equipment,finding parking,clubs and student life
6,-1,1,NA,NA,1,6,10,NA,,-1,NA,3,,10,less paperwork in advising,not enough outlets in library,gym and athletics
6,6,2,,,4,,NA,6,10,,5,6,NA,4,more fun traditions,finding parking,career fairs and networking
-1,6,-1,-1,,NA,NA,,,6,,2,NA,3,,better gym equipment,cafeteria food prices,professors are helpful
5,,NA,-1,5,-1,4,,6,10,4,,3,NA,NA,more parking spots,commuting every day,tutoring center really helps
,10,1,,,NA,10,,2,4,NA,2,NA,10,10,longer library hours,lack of sleep,modern campus
NA,,,3,10,3,,-1,NA,6,,NA,-1,,1,free coffee for students,finding parking,clubs and student life
NA,5,-1,NA,4,NA,NA,4,4,,NA,-1,NA,-1,1,better gym equipment,slow wifi,library is quiet
5,NA,NA,3,3,,NA,,2,,,NA,NA,NA,,better gym equipment,finding parking,gym and athletics
1,,NA,NA,4,,-1,,,3,,5,-1,,NA,more parking spots,registering for classes,modern campus
10,4,,,2,2,,NA,3,,4,3,4,,,fix the wifi,commuting every day,friends I've made
,NA,NA,-1,,-1,NA,4,NA,-1,2,1,5,,10,more parking spots,finding parking,friends I've made
6,NA,2,NA,5,6,1,,6,-1,NA,2,,,3,fix the wifi,commuting every day,library is quiet
,5,NA,2,6,NA,,10,,NA,1,5,,6,6,make campus greener,too much homework,technology resources are good
4,-1,4,3,5,1,NA,,NA,2,NA,,1,10,2,free coffee for students,exams all in one week,gym and athletics
4,-1,6,10,2,,5,2,2,,,,NA,1,-1,better food options,cafeteria food prices,modern campus
1,10,NA,3,,10,1,NA,10,NA,-1,6,,,,fix the wifi,registering for classes,technology resources are good
1,5,,NA,10,NA,10,NA,6,,,6,2,,NA,more campus events,too much homework,campus events are fun
-1,1,,,2,-1,10,,,2,2,NA,6,-1,,more campus events,registering for classes,technology resources are good
,,-1,2,1,-1,10,3,2,,NA,,,-1,NA,less paperwork in advising,slow wifi,modern campus
1,,NA,NA,3,6,NA,6,,10,,NA,2,,,free coffee for students,finding parking,technology resources are good
,5,,6,-1,4,4,5,-1,,4,NA,NA,6,NA,longer library hours,not enough outlets in library,career fairs and networking
NA,5,6,,,10,NA,4,NA,6,,,2,,,more fun traditions,slow wifi,tutoring center really helps
6,10,10,6,6,6,,1,NA,-1,10,NA,,4,NA,make campus greener,lack of sleep,professors are helpful
10,,,6,5,10,-1,NA,10,2,NA,-1,4,NA,NA,fix the wifi,registering for classes,career fairs and networking
10,,10,NA,6,-1,4,,NA,,5,-1,6,,1,less paperwork in advising,group projects,tutoring center really helps
1,NA,,NA,,3,5,,6,NA,,,10,,2,free coffee for students,registering for classes,career fairs and networking
,NA,NA,,NA,NA,-1,2,NA,,3,4,6,3,10,make campus greener,slow wifi,campus events are fun
6,NA,3,2,4,6,1,,4,NA,5,NA,3,-1,1,more parking spots,lack of sleep,career fairs and networking
10,6,NA,,NA,3,NA,NA,10,2,,,,NA,,free coffee for students,finding parking,technology resources are good
3,,NA,NA,,NA,6,10,NA,,,,10,4,3,make campus greener,finding parking,professors are helpful
6,5,NA,1,5,NA,4,NA,2,,,NA,,6,,better gym equipment,group projects,campus events are fun
6,,6,5,-1,4,4,,,10,3,6,6,6,6,better gym equipment,registering for classes,friends I've made
10,NA,NA,,,3,NA,5,6,2,,NA,,1,2,fix the wifi,exams all in one week,professors are helpful
,NA,2,NA,,,,6,3,NA,,,10,,,longer library hours,slow wifi,professors are helpful
4,NA,NA,NA,-1,,,6,,4,NA,NA,-1,-1,2,more fun traditions,commuting every day,professors are helpful
5,,10,5,,2,NA,,NA,,6,,3,10,,better food options,finding parking,tutoring center really helps
,10,2,3,-1,,NA,3,NA,NA,3,4,10,10,5,more campus events,registering for classes,gym and athletics
-1,NA,,,,NA,10,10,NA,10,,,-1,5,,less paperwork in advising,group projects,friends I've made
5,,NA,6,6,,4,,,2,,10,3,,NA,longer library hours,cafeteria food prices,library is quiet
2,,,,5,,,-1,3,10,5,,,,NA,fix the wifi,exams all in one week,campus events are fun
NA,,NA,6,NA,-1,,NA,NA,10,4,,-1,5,NA,free coffee for students,not enough outlets in library,tutoring center really helps
,4,3,NA,-1,1,,,NA,-1,NA,6,,1,,better gym equipment,too much homework,professors are helpful
2,3,2,,10,NA,1,NA,NA,NA,NA,3,1,-1,,more parking spots,slow wifi,campus events are fun
,,-1,6,NA,NA,6,,1,10,1,,NA,-1,,more campus events,slow wifi,campus events are fun
NA,,10,NA,4,10,-1,NA,NA,NA,10,1,,10,NA,more campus events,lack of sleep,modern campus
,NA,NA,,6,6,5,NA,,-1,6,6,,NA,NA,less paperwork in advising,registering for classes,friends I've made
,NA,,1,-1,,10,,-1,NA,4,NA,5,NA,6,make campus greener,too much homework,library is quiet
NA,,NA,1,,,2,10,,10,10,NA,,NA,NA,free coffee for students,commuting every day,career fairs and networking
10,4,,-1,4,5,10,NA,NA,5,10,10,-1,NA,NA,free coffee for students,slow wifi,tutoring center really helps
1,3,,2,,2,6,5,6,,10,6,NA,,10,longer library hours,exams all in one week,campus events are fun
4,4,,4,NA,,,,NA,10,5,1,3,NA,NA,free coffee for students,not enough outlets in library,technology resources are good
2,,6,5,NA,3,NA,4,,1,1,,NA,,,longer library hours,finding parking,gym and athletics
NA,-1,NA,,10,10,NA,,,NA,10,4,1,,,less paperwork in advising,registering for classes,tutoring center really helps
NA,3,-1,5,,,5,2,-1,,NA,,NA,NA,,more parking spots,exams all in one week,clubs and student life
10,,3,NA,NA,6,NA,-1,10,NA,5,10,NA,,NA,longer library hours,slow wifi,friends I've made
10,6,10,10,,,NA,NA,,10,,,5,1,,longer library hours,cafeteria food prices,career fairs and networking
NA,10,,,NA,5,NA,,NA,6,10,3,NA,-1,1,longer library hours,group projects,campus events are fun
10,10,,5,1,NA,6,NA,NA,10,,1,,-1,3,more fun traditions,slow wifi,campus events are fun
-1,,NA,,10,NA,,,NA,10,,,,3,,more campus events,exams all in one week,modern campus
,NA,-1,3,,,NA,1,-1,10,,,-1,5,6,more parking spots,not enough outlets in library,gym and athletics
10,5,6,NA,-1,,NA,NA,1,-1,NA,NA,,NA,-1,fix the wifi,commuting every day,friends I've made
2,NA,6,6,NA,,NA,,-1,NA,NA,5,1,NA,6,fix the wifi,lack of sleep,library is quiet
2,10,NA,,,NA,,1,NA,10,2,10,6,,,better gym equipment,slow wifi,professors are helpful
5,2,-1,NA,-1,-1,,6,6,,,1,6,NA,3,less paperwork in advising,lack of sleep,technology resources are good
,10,,,NA,5,3,NA,,5,6,6,10,,10,fix the wifi,cafeteria food prices,friends I've made
6,5,10,,4,NA,,2,1,NA,,10,1,NA,4,free coffee for students,group projects,technology resources are good
,NA,6,1,NA,4,10,,NA,,,,,10,,more parking spots,commuting every day,campus events are fun
,-1,,,,-1,,NA,,,3,10,NA,,,longer library hours,finding parking,professors are helpful
,-1,,NA,1,,6,NA,6,NA,,,6,NA,NA,make campus greener,too much homework,gym and athletics
6,NA,,NA,1,NA,1,NA,10,,1,,NA,4,10,longer library hours,group projects,clubs and student life
,-1,-1,6,,1,-1,1,,6,,-1,3,10,-1,less paperwork in advising,too much homework,technology resources are good
,NA,4,,-1,,,NA,5,NA,1,NA,-1,10,,more fun traditions,lack of sleep,campus events are fun
,5,,6,4,,NA,NA,1,5,,NA,,3,NA,more parking spots,cafeteria food prices,professors are helpful
,2,,6,,,-1,6,,,10,NA,5,,6,make campus greener,slow wifi,clubs and student life
,,6,,5,,,,10,NA,,6,,10,4,longer library hours,group projects,technology resources are good
10,1,2,2,-1,,-1,10,-1,,NA,3,1,NA,NA,longer library hours,too much homework,gym and athletics
,NA,-1,,,3,,NA,3,NA,1,6,,,NA,better gym equipment,too much homework,friends I've made
6,,3,6,1,NA,1,NA,10,6,NA,NA,,1,NA,more fun traditions,exams all in one week,friends I've made
10,3,1,,,NA,10,,5,4,,4,,,NA,longer library hours,lack of sleep,library is quiet
,-1,1,6,,1,,10,NA,NA,,,,,,more campus events,group projects,professors are helpful
10,NA,6,NA,,-1,,10,10,6,NA,,,3,10,more campus events,cafeteria food prices,career fairs and networking
NA,NA,NA,2,NA,NA,5,6,,10,3,NA,,2,2,more campus events,lack of sleep,professors are helpful
10,10,6,6,6,5,NA,2,NA,6,,NA,,NA,,more campus events,cafeteria food prices,modern campus
NA,,2,6,-1,2,6,,5,10,10,-1,3,NA,6,more parking spots,not enough outlets in library,gym and athletics
NA,NA,10,,10,1,5,NA,,,,NA,,-1,6,make campus greener,registering for classes,technology resources are good
NA,NA,NA,NA,1,6,NA,-1,4,10,,-1,NA,NA,-1,more parking spots,too much homework,technology resources are good
4,5,NA,10,,-1,10,,,,6,,NA,2,10,free coffee for students,commuting every day,tutoring center really helps
2,NA,,,10,3,10,1,5,5,4,-1,2,10,10,more campus events,finding parking,tutoring center really helps
NA,10,3,10,,2,2,3,2,10,NA,2,2,10,-1,more parking spots,slow wifi,clubs and student life
NA,5,,,,3,,2,NA,4,6,,NA,NA,,fix the wifi,exams all in one week,clubs and student life
NA,NA,-1,,4,NA,NA,NA,5,5,10,NA,5,2,,better food options,not enough outlets in library,friends I've made
,NA,NA,-1,5,,,,NA,NA,NA,NA,6,3,5,better gym equipment,registering for classes,modern campus
-1,NA,NA,NA,NA,3,,3,6,4,NA,6,6,NA,,more campus events,not enough outlets in library,professors are helpful
6,4,1,4,,NA,1,10,10,6,2,4,NA,,10,less paperwork in advising,cafeteria food prices,tutoring center really helps
10,-1,,-1,-1,-1,,,,NA,,-1,-1,2,NA,more parking spots,group projects,professors are helpful
5,10,,10,NA,3,1,,,NA,-1,,-1,NA,,more fun traditions,exams all in one week,friends I've made
,2,10,10,NA,3,4,1,,-1,NA,10,2,NA,,less paperwork in advising,not enough outlets in library,library is quiet
10,10,,1,NA,NA,-1,NA,4,-1,6,-1,1,6,10,better food options,slow wifi,career fairs and networking
2,4,NA,,,,10,10,NA,,10,,10,1,-1,more parking spots,lack of sleep,campus events are fun
NA,NA,6,,6,NA,5,,5,,2,10,10,6,NA,less paperwork in advising,commuting every day,campus events are fun
4,6,,,4,6,,,NA,NA,,5,-1,3,,better food options,too much homework,campus events are fun
NA,-1,NA,10,3,-1,NA,,NA,,,5,,3,,longer library hours,cafeteria food prices,library is quiet
1,-1,NA,,,-1,,NA,NA,10,6,-1,NA,NA,,more fun traditions,finding parking,campus events are fun
NA,,1,,NA,NA,5,,10,6,6,,NA,,,free coffee for students,exams all in one week,technology resources are good
,,6,,NA,NA,,10,6,4,-1,2,10,6,1,free coffee for students,exams all in one week,gym and athletics
-1,,NA,3,,6,,,NA,NA,6,5,NA,NA,NA,better gym equipment,registering for classes,friends I've made
6,,3,NA,,NA,5,4,1,NA,NA,6,3,,-1,fix the wifi,registering for classes,modern campus
4,10,3,NA,-1,,NA,,4,1,NA,1,5,,,better gym equipment,slow wifi,professors are helpful
,-1,5,NA,,,NA,10,,,,,6,10,10,more fun traditions,lack of sleep,clubs and student life
,3,,NA,6,4,6,5,5,NA,10,4,,NA,,less paperwork in advising,slow wifi,professors are helpful
,-1,,4,,4,-1,,1,2,10,NA,3,NA,3,make campus greener,finding parking,clubs and student life
-1,-1,3,3,10,,4,NA,6,6,,NA,,NA,3,fix the wifi,commuting every day,tutoring center really helps
NA,NA,NA,6,NA,6,NA,-1,NA,6,NA,6,1,NA,6,more parking spots,registering for classes,gym and athletics
4,NA,5,,,4,NA,,,NA,6,,6,-1,1,less paperwork in advising,cafeteria food prices,professors are helpful
-1,NA,,6,NA,,-1,NA,NA,NA,NA,3,10,5,10,better gym equipment,lack of sleep,professors are helpful
-1,,10,,-1,NA,,6,10,3,NA,NA,3,6,1,better gym equipment,cafeteria food prices,gym and athletics
4,NA,10,NA,NA,2,NA,2,NA,5,,-1,,3,,better gym equipment,too much homework,modern campus
6,,,NA,4,10,2,,-1,NA,,,6,1,NA,less paperwork in advising,cafeteria food prices,tutoring center really helps
2,-1,NA,6,,-1,NA,4,,4,-1,NA,4,NA,,more campus events,commuting every day,tutoring center really helps
NA,NA,3,NA,10,,5,NA,-1,NA,NA,,4,,-1,more fun traditions,cafeteria food prices,gym and athletics
,NA,,-1,4,-1,NA,6,,1,NA,,,-1,6,more campus events,registering for classes,clubs and student life
NA,,,3,,5,,6,,,NA,-1,-1,1,4,more campus events,registering for classes,campus events are fun
,NA,,3,,NA,,NA,NA,,NA,-1,-1,,NA,better gym equipment,exams all in one week,campus events are fun
4,NA,4,4,6,-1,10,,NA,-1,10,1,10,NA,1,more fun traditions,cafeteria food prices,library is quiet
6,,NA,3,3,2,3,-1,3,3,,4,6,,2,free coffee for students,not enough outlets in library,clubs and student life
5,NA,NA,NA,3,5,NA,,6,NA,NA,,,10,-1,better gym equipment,cafeteria food prices,career fairs and networking
NA,NA,6,5,6,NA,1,10,,NA,3,10,NA,5,10,better food options,finding parking,technology resources are good
,,1,1,2,-1,10,1,1,3,10,1,,4,4,fix the wifi,lack of sleep,library is quiet
1,,1,NA,6,6,NA,NA,,,NA,NA,-1,-1,NA,more parking spots,slow wifi,friends I've made
NA,2,5,,,-1,,10,4,4,,10,NA,6,3,longer library hours,too much homework,tutoring center really helps
,NA,,NA,,NA,3,10,10,,NA,NA,NA,NA,,more campus events,lack of sleep,campus events are fun
NA,4,10,5,2,5,3,NA,NA,6,5,NA,,,-1,more campus events,slow wifi,professors are helpful
10,NA,NA,4,,6,6,NA,1,NA,,-1,-1,10,,better gym equipment,registering for classes,campus events are fun
NA,,NA,NA,NA,10,3,,6,,NA,3,-1,NA,,make campus greener,not enough outlets in library,career fairs and networking
,NA,,-1,10,,10,NA,10,,10,NA,NA,1,3,better gym equipment,finding parking,modern campus
NA,-1,,5,NA,,10,2,NA,,,6,NA,NA,-1,fix the wifi,commuting every day,friends I've made
,3,,6,5,,NA,3,NA,,4,NA,NA,6,,make campus greener,cafeteria food prices,friends I've made
2,NA,NA,10,-1,,5,,NA,,,-1,-1,10,2,make campus greener,registering for classes,technology resources are good
